elev_bin, 6,1,Elev
LARGE_FIRE, 2,2,Z
:no-frequency
:data
400314409	2018	0.90	B	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	low	0
300217281	2015	16.00	C	71	71	42	52	52	52	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	5	Columbia_Plateau	B	Summer	mid	1
400512666	2019	3.00	B	52	52	52	52	52	52	52	52	52	52	52	52	82	82	52	52	82	52	52	52	52	5	Columbia_Plateau	B	Summer	midlow	0
400029699	2017	10.00	C	82	71	71	82	71	71	82	71	71	82	71	71	82	71	71	82	71	71	82	71	71	5	Columbia_Plateau	B	Summer	mid	1
400325692	2018	3.56	B	71	52	52	71	52	52	71	52	52	71	52	52	71	52	52	71	52	52	71	52	52	5	Columbia_Plateau	B	Summer	mid	0
400307069	2018	103.00	D	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	31	North_Central_California_Footh	B	Summer	midlow	1
400029961	2017	0.50	B	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Summer	midlow	0
400081850	2016	0.30	B	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Summer	mid	0
400312393	2018	600.00	E	52	71	71	52	71	71	52	71	71	82	82	82	82	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Spring	mid	1
400512654	2019	2.00	B	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Summer	midlow	0
400537959	2019	75.00	C	52	71	71	52	71	71	52	71	71	52	71	71	52	71	71	52	71	71	52	71	71	5	Columbia_Plateau	B	Summer	mid	1
